,title,sub_title,intro,link_url,image_url
20,먼데이프로젝트 IN 라이브클럽 [수연이 단독 콘서트],콘서트 ,〈수연이〉와 함께 살아있음을 공유하는 특별한 시간！,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EB%A8%BC%EB%8D%B0%EC%9D%B4%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8+IN+%EB%9D%BC%EC%9D%B4%EB%B8%8C%ED%81%B4%EB%9F%BD+%5B%EC%88%98%EC%97%B0%EC%9D%B4+%EB%8B%A8%EB%8F%85+%EC%BD%98%EC%84%9C%ED%8A%B8%5D+%EC%A0%95%EB%B3%B4,https://search.pstatic.net/common?type=o&size=174x242&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220520_55%2F1653028520391xRxQy_JPEG%2F269_image_url_1653028520377.jpg
21,2022 Space111 매니아 패키지 - 웰킨,연극 ,"사형 선고를 받은 살인사건의 용의자, 자신이 임신 중이라며 탄원을 원하는데... 노동, 계급, 종교, 법, 성별의 공정이란 무엇일까?",https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=2022+Space111+%EB%A7%A4%EB%8B%88%EC%95%84+%ED%8C%A8%ED%82%A4%EC%A7%80+-+%EC%9B%B0%ED%82%A8+%EC%A0%95%EB%B3%B4,https://search.pstatic.net/common?type=o&size=174x242&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220530_98%2F16538929458468w134_JPEG%2F269_25662667_image_url_1653892945704.jpg
22,유미향 피아노 독주회,클래식 ,"피아니스트 유미향은 한국예술종합학교 영재원 1회 입학생으로 어린 시절부터 피아노에 재능을 보인 그녀는 예원학교, 서울예술고등학교를 졸업하고 한국예술종합학교 학사과정을 졸업한 후 도독하여 베를린 예술대학교(UDK)에서 Diplom과정과 Konzertexamen과정을 우수한 성적으로 졸업하였다. 일찍이 이화경향 콩쿨에서 1위를 수상하며 두각을 나타낸 그녀는 소년한국일보 콩쿨 금상, 조선일보 콩쿨 금상, 부산음악 콩쿨 2위, 틴에이져 콩쿨 특상 등 국내에서 다수의 콩쿨에서 수상하였고 국외에서는 Cidade de Alcobaca 국제콩쿨 우승, Ischia 국제콩쿨 1위, Alfonso Rendano 국제콩쿨 1위, Anguissola Scotti 국제콩쿨 입상, Muzio Clementi 국제콩쿨 입상 등 화려한 수상경력으로 그 실력을 인정받았다. 또한 서울시향을 비롯하여 서울심포니 오케스트라, KNUA 심포니 오케스트라, 마제스틱 청소년오케스트라, Spoleto Orchestra와 협연하여 관객과 평단으로부터 호평을 받은 그녀는 쇼팽홀 독주회, EBS 방송출연, 이화경향 콩쿨 입상자 연주회, 젊은이의 음악제, 금호영재 콘서트, 금호 영 아티스트 독주회, 프랑스 Music Aip 페스티벌 연주회, 독일 Instrument Museum 독주회, MS Deutschland 독주회, Jour fixe - Musik am Nachmittag 콘서트, 포르투갈 Alcobaca 페스티벌 초청 두오 리사이틀, Estoril 페스티벌 초청 두오 리사이틀, 베를린에서 '춤과 오보에와 함께하는 음악회', 울산 중구문화의전당에서 '인문학 콘서트', 예술의전당 IBK챔버홀에서 '앙상블 본 챔버 연주회', 주독 한국문화원 현대음악 연주회, KBS 실내악시리즈 피아니스트 등 독주자뿐만 아니라 실내악 연주자로서 국내외에서 활발한 연주활동을 전개하였다. 국내에서 강성애, 정민경, 강충모 교수를 사사하고 국외에서 Pascal Devoyon 교수에게 독주 및 실내악을 사사한 피아니스트 유미향은 현재 서울사이버대학교 대우교수, 전남대학교, 추계예술대학교, 장로회신학대학교, 영남대학교, 장로회신학대학교콘서바토리,예원학교, 서울예고에 출강하며 후학양성에 열정을 쏟고 있으며 KBS 제1바이올린 부수석인 동생 유신혜와 DUO PIAOLIN으로 활동하고 본 솔로이스츠 멤버로도 활동 중이다. ",https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%9C%A0%EB%AF%B8%ED%96%A5+%ED%94%BC%EC%95%84%EB%85%B8+%EB%8F%85%EC%A3%BC%ED%9A%8C+%EC%A0%95%EB%B3%B4,https://search.pstatic.net/common?type=o&size=174x242&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220422_9%2F1650605823382LEDQN_JPEG%2F269_image_url_1650605823302.jpg
23,이예나 귀국 바이올린 독주회,클래식 ,"섬세한 표현력과 세련된 감각으로 관객들의 마음을 사로잡는 바이올리니스트 이예나는 선화예술중·고등학교를 거쳐 경희대학교 음악대학 학사 졸업 후 도미하여 맨하탄 음악대학 석사를 졸업하였다. 선화예술고등학교 재학 당시 예전음악콩쿨 고등부 최우수상 및 현악부문 대상을 시작으로 한·이전국음악콩쿨, 브람스콩쿨, 음악교육신문사콩쿨, 한음콩쿨 등 다수 콩쿨에서 상위 입상하며 연주자로서의 입지를 다졌고, 경희대학교 음악대학 재학 중 성적 우수 장학금을 수여하며 학업적인 면에서도 두각을 나타내었다. 또한 예술의전당 콘서트홀, 롯데콘서트홀, 세종문화회관 대극장, 장천아트홀 등 국내 유수 홀에서 폭넓은 스펙트럼으로 활발한 연주 활동을 이어오고 있고, 2016 Encore Chamber Music의 Sonata Duo Program에 참가하여 Cleveland Institute of Music의 교수인 Jamie Laredo와 유명 바이올리니스트인 Nancy Zhou에게 마스터클래스를 받으며 뛰어난 역량을 인정받았다. 김성려, 양고운, 조성연, Peter Winograd를 사사한 그는 현재 송파구립교향악단 단원으로 활동 중이며 이번 귀국 독주회를 시작으로 전문연주자로서의 활동과 함께 후학 양성에도 힘쓸 예정이다. ",,
24,뱅크뱅레슨,연극 ,이제부터 은행 강도를 대비하는 훈련이 시작된다. 아무것도 예상하지 말고 평소대로 반응할 것. 하지만 2인조의 강도가 나타나자 차분하게 척척 지시에 따르게 되는 은행원들 뭔가 부족하다 더 극적이었으면 좋겠다.,,
25,전인홍 바이올린 독주회,클래식 ," 세련된 음색과 섬세한 테크닉의 바이올리니스트 전인홍은 어려서부터 음악가집안의 영향을 받아 바이올린을 시작하여 한국예술종합학교 예비학교에서 김남윤 교수를 사사하였고 예원학교 졸업후 서울예술고등학교 1학년 재학중 도독 독일에쎈폴크방음대를 거쳐 프라이부르크국립음대에서 프라이부르크 바로크오케스트라악장인 Gottfried von der Goltz에게 Künstlerische Ausbildung(전문연주자과정) 및 Advance Studies(최고연주자과정)를 최우수졸업하였다. 그 후 오스트리아로 건너가 그라츠예술대학에서 줄리안 라흘린과 니콜라이 츠나이더를 키워낸 명교수 Boris Kuschnir를 사사하고 빈 국립음대에서 빈필하모닉 제1악장인 Rainer Küchl의 사사를 받으며 Postgradualer Universitätslehrgang(최고연주자과정)을 졸업하였다.유학시절 여러 스승들을 통해 러시안스쿨의 기법과 독일음악의 깊이, 비엔나음악의 정통성이 그의 음악을 한층 발전시켰다. 학창시절 금호영재오디션에 선발되어 독주회를 개최하였으며 서울바로크합주단음악콩쿨, 음악춘추콩쿨, 한국청소년실내악콩쿨 1위 등 다수의콩쿨에 입상하며 음악적 재능을 인정받았다. 또한 서울심포니오케스트라, 코리안챔버오케스트라 등 여러 협연을 통해 활동무대를 넓혀나갔다. 2015년 이태리 International Euterpe Competiton 1위, International Luigi Zanuccolli Competition 2위, International Gianluca Campochiaro Competition 2위에 입상하였고 2016년 International Violin Competition Don Vinconzo Vitti에서 1위 입상하는 등 국제무대에서 솔리스트로서의 음악적 기량을 유감없이 발휘하였다. Ulf Hoelscher, Yair Kless, Boris Kuschnir, Benjamin Schmid 등 수많은 마스터클래스에 참가하여 다채로운 경험을 통해 음악적 소양을 한층 높여왔다. 현재 코리안챔버오케스트라(구 서울바로크합주단)에서 정단원으로 국내외 활발히 활동중이며 충남대학교 강사를 역임하고 목원대학교, 서울예고, 예원학교, 선화예고, 계원예고, 인천예고, 세종예고, 충북예고영재원, SCC(서울중앙음악원)에도 출강하며 후학양성에도 힘쓰고 있다. 대전시향, 프라임필하모닉, 충북도향, 송도필하모닉 등 여러 오케스트라의 객원수석으로 참여하며 다양한 무대에서 수차례 연주한 바 있다. 그는 현재 1730년산 카를로 주세페 테스토레를 사용중이다. 2020년 예술의전당 귀국독주회를 시작으로 코리안챔버오케스트라와의 라이징스타콘서트 협연, 금호아트홀 연세와 세종BOK 아트센터에서의 리사이틀로 활발히 활동중인 바이올리니스트 전인홍은 이번 세종문화회관 독주회를 통해 더 많은 관객들과 소통할 예정이다.",https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%A0%84%EC%9D%B8%ED%99%8D+%EB%B0%94%EC%9D%B4%EC%98%AC%EB%A6%B0+%EB%8F%85%EC%A3%BC%ED%9A%8C+%EC%A0%95%EB%B3%B4,https://search.pstatic.net/common?type=o&size=174x242&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220429_39%2F16512142070203spoS_JPEG%2F269_image_url_1651214207010.jpg
26,대전신포니에타 제13회 정기연주회 [SERENADE],클래식 ,"젊음과 열정으로 모인 대전신포니에타의 제13회 정기연주회 ""SERENADE""가 2022년 6월 7일 화요일 오후 7시 30분에 대전예술의전당에서 개최될 예정이다. 대전신포니에타는 순수한 열정으로 관현악기를 전공한 뛰어난 기량의 전문 연주자들로 구성된 오케스트라로, 매혹적이고 깊이 있는 소리의 앙상블을 만들어 다양하고 보편적인 레퍼토리를 연주하며 정기연주와 연주지원, 병원 및 복지시설, 각종 기관 등을 찾아가 사랑의 음악회 등의 기획연주를 통해 음악을 나누는 사회와 음악문화에 큰 공헌을 하는 오케스트라 단체이다. 이번 정기연주회는 코로나19로 지친 시민들에게 한여름 밤의 선물을 선사하고자...",https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EB%8C%80%EC%A0%84%EC%8B%A0%ED%8F%AC%EB%8B%88%EC%97%90%ED%83%80+%EC%A0%9C13%ED%9A%8C+%EC%A0%95%EA%B8%B0%EC%97%B0%EC%A3%BC%ED%9A%8C+%5BSERENADE%5D+%EC%A0%95%EB%B3%B4,https://search.pstatic.net/common?type=o&size=174x242&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220504_131%2F1651640867495grK96_JPEG%2F269_image_url_1651640867432.jpg
27,동백꽃 피는 날,뮤지컬 ,"북촌을 새로운 항구와 대단위 리조트로 개발하려는 사람들과 이를 반대하는 분임 할머니의 이야기다. 도시개발업자 박회장은 거대 자본으로 북촌을 개발하려고 하는데, 개발을 반대하는 분임할머니의 집과 동백나무가 개발의 한가운데 있다.",,
28,먼데이프로젝트 시즌5 음악여행，쉼［전유동 단독 콘서트］,콘서트 ,내 뮤지션과 함께하는 “음악여행，그리고 쉼”,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EA%B3%B5%EC%97%B0+%EB%A8%BC%EB%8D%B0%EC%9D%B4%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8+%EC%8B%9C%EC%A6%8C5+%EC%9D%8C%EC%95%85%EC%97%AC%ED%96%89%EF%BC%8C%EC%89%BC%EF%BC%BB%EC%A0%84%EC%9C%A0%EB%8F%99+%EB%8B%A8%EB%8F%85+%EC%BD%98%EC%84%9C%ED%8A%B8%EF%BC%BD+%EC%A0%95%EB%B3%B4,https://search.pstatic.net/common?type=o&size=174x242&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220520_122%2F1653028782118Q8CAC_JPEG%2F269_image_url_1653028782105.jpg
29,"사랑해요, 당신 - 해남",연극 ,전직 교사로 퇴임 후 학원에서 아이들을 가르친다. 아내와 자식들에게 자신의 속 마음과는 다르게 항상 퉁명스럽다.,,
