title,singer,lyric,url,image
첫눈처럼 너에게 가겠다,에일리(Ailee),"널 품기 전 알지 못했다
내 머문 세상 이토록 찬란한 것을
작은 숨결로 닿은 사람
겁 없이 나를 불러준 사랑
몹시도 좋았다
너를 지켜보고 설레고
우습게 질투도 했던
평범한 모든 순간들이
캄캄한 영원
그 오랜 기다림 속으로
햇살처럼 니가 내렸다
널 놓기 전 알지 못했다
내 머문 세상 이토록 쓸쓸한 것을
고운 꽃이 피고 진 이 곳
다시는 없을 너라는 계절
욕심이 생겼다
너와 함께 살고 늙어가
주름진 손을 맞잡고
내 삶은 따뜻했었다고
단 한번 축복
그 짧은 마주침이 지나
빗물처럼 너는 울었다
한번쯤은 행복하고 싶었던 바람
너까지 울게 만들었을까
모두 잊고 살아가라
내가 널 찾을 테니
니 숨결 다시 나를 부를 때
잊지 않겠다
너를 지켜보고 설레고
우습게 질투도 했던
니가 준 모든 순간들을
언젠가 만날
우리 가장 행복할 그날
첫눈처럼 내가 가겠다
너에게 내가 가겠다",https://www.melon.com/song/detail.htm?songId=30190630,https://cdnimg.melon.co.kr/cm/album/images/100/29/181/10029181_500.jpg/melon/resize/48/quality/80/optimize
밤편지,아이유,"이 밤 그날의 반딧불을
당신의 창 가까이 보낼게요
음 사랑한다는 말이에요
나 우리의 첫 입맞춤을 떠올려
그럼 언제든 눈을 감고
음 가장 먼 곳으로 가요
난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
늘 그리워 그리워
여기 내 마음속에
모든 말을 다 꺼내어 줄 순 없지만
사랑한다는 말이에요
어떻게 나에게
그대란 행운이 온 걸까
지금 우리 함께 있다면 아
얼마나 좋을까요
난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
또 그리워 더 그리워
나의 일기장 안에
모든 말을 다 꺼내어 줄 순 없지만
사랑한다는 말
이 밤 그날의 반딧불을 당신의
창 가까이 띄울게요
음 좋은 꿈 이길 바라요",https://www.melon.com/song/detail.htm?songId=30314784,https://cdnimg.melon.co.kr/cm/album/images/100/47/890/10047890_500.jpg/melon/resize/48/quality/80/optimize
좋니,윤종신,"이제 괜찮니 너무 힘들었잖아
우리 그 마무리가 고작 이별뿐인 건데
우린 참 어려웠어
잘 지낸다고 전해 들었어 가끔
벌써 참 좋은 사람
만나 잘 지내고 있어
굳이 내게 전하더라
잘했어 넌 못 참았을 거야
그 허전함을 견뎌 내기엔
좋으니 사랑해서 사랑을 시작할 때
니가 얼마나 예쁜지 모르지
그 모습을 아직도 못 잊어
헤어 나오지 못해
니 소식 들린 날은 더
좋으니 그 사람 솔직히 견디기 버거워
니가 조금 더 힘들면 좋겠어
진짜 조금 내 십 분의 일 만이라도
아프다 행복해 줘
억울한가 봐 나만 힘든 것 같아
나만 무너진 건가
고작 사랑 한번 따위
나만 유난 떠는 건지
복잡해 분명 행복 바랬어
이렇게 빨리 보고 싶을 줄
좋으니 사랑해서 사랑을 시작할 때
니가 얼마나 예쁜지 모르지
그 모습을 아직도 못 잊어
헤어 나오지 못해
니 소식 들린 날은 더
좋으니 그 사람 솔직히 견디기 버거워
너도 조금 더 힘들면 좋겠어
진짜 조금 내 십 분의 일 만이라도
아프다 행복해 줘
혹시 잠시라도 내가 떠오르면
걘 잘 지내 물어 봐줘
잘 지내라고 답할 걸 모두 다
내가 잘 사는 줄 다 아니까
그 알량한 자존심 때문에
너무 잘 사는 척
후련한 척 살아가
좋아 정말 좋으니
딱 잊기 좋은 추억 정도니
난 딱 알맞게 사랑하지 못한
뒤끝 있는 너의 예전 남자친구일 뿐
스쳤던 그저 그런 사랑",https://www.melon.com/song/detail.htm?songId=30486509,https://cdnimg.melon.co.kr/cm/album/images/100/73/513/10073513_500.jpg/melon/resize/48/quality/80/optimize
좋다고 말해,볼빨간사춘기,"안녕 오늘도
같은 자리 버스 창가에
기대 앉은 네게
인사를 해 Hi
역시 넌 받아 주지를 않네
인기 많고 잘생긴 넌 내게만
그렇게 쌀쌀하게 굴더라
근데 Last Night
기억나 넌 내가 좋다고 했어
그 예쁜 가로등 아래서
넌 내가 좋다고 말했어
다음부턴 모른 척
아닌 척해도
You Have To Know That
확신을 해야 돼 넌
그날 넌
내가 좋다고 했어 Yeah
If You Like Me Or
Love Me Just Say Yes Yes Yes
And Then I'm Your Girlfriend
And You're My Boyfriend
어서 내게 좋다고 말해 줘
몰래 오늘도
도서관 맨 앞자리에
기대 앉은 네게
인사를 해 Oh Boy
역시 넌 받아 주지를 않네
인기 많고 잘생긴 넌 내게만
그렇게 쌀쌀하게 굴더라
근데 Last Night
기억나 넌 내가 좋다고 했어
그 예쁜 가로등 아래서
넌 내가 좋다고 말했어
다음부턴 모른 척
아닌 척해도
You Have To Know That
확신을 해야 돼 넌
그날 넌
내가 좋다고 했어 Yeah
If You Like Me Or
Love Me Just Say Yes Yes Yes
And Then I'm Your Girlfriend
And You're My Boyfriend
어서 내게 좋다고 말해 줘 Oh
널 참 많이 좋아하는 난데
우린 이어질 수 없는 걸까
내 긴 교복 치마가 부끄러워
초라해 Yeah
네 곁엔 항상 키 크고
예쁜 애들이 넘치는데 Woo
If You Like Me
If You Love Me Yeah
And Then I'm Your Girlfriend
And You're My Boyfriend
어서 내게 좋다고 말해 줘
If You Like Me Or
Love Me Just Say Yes Yes Yes
And Then I'm Your Girlfriend
And You're My Boyfriend
어서 내게 좋다고 말해 줘",https://www.melon.com/song/detail.htm?songId=30163110,https://cdnimg.melon.co.kr/cm/album/images/100/24/816/10024816_500.jpg/melon/resize/48/quality/80/optimize
Marry Me,"마크툽 (MAKTUB), 구윤회","비내리는 날엔
우산이 돼주고
어둠이 오면 빛이 돼줄게
추운 겨울이면
난로가 돼주고
더운 날엔 바람이 될게
잠이 들 때까지 머릴 만져줄게
니가 두려울 때마다 꼭 옆에
있어줄게
갑작스런 맘에 문득
떠나고 싶으면
내일 무슨 일이 있어도 함께
떠나줄게
Marry Me
내 손 잡아줄래요
Marry Me
나와 평생 함께 할래요
남은 나의 모든 삶
오직 그대 남자로 살고 싶어요
Marry Me darling
나와 결혼해줄래요
순간뿐이 아냐 많이 생각했어
헌데 내 사랑을 줄 수 있는 여잔
너밖에 없어
차갑고 어두운 험하고
쓸쓸한 세상 속
평생의 동반자로 함께
걸어가고 싶어
Marry Me
내 손 잡아줄래요
Marry Me
나와 평생 함께 할래요
남은 나의 모든 삶
오직 그대 남자로 살고 싶어요
Marry Me darling
나와 결혼해줄래요
내 안에 숨쉬는 아름 다운 그대
영원히 같은 꿈을 꾼다면 얼마나
좋을까
믿어요 Marry Me
그대와 함께 하는 매일이
내겐 천국이죠
나와 결혼해줄래요
비내리는 날엔
우산이 돼주고
어둠이 오면 빛이 돼줄게",https://www.melon.com/song/detail.htm?songId=4786735,https://cdnimg.melon.co.kr/cm/album/images/022/71/467/2271467_500.jpg/melon/resize/48/quality/80/optimize
비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),"비도 오고 그래서
네 생각이 났어
생각이 나서 그래서
그랬던거지
별 의미 없지
오늘은 오랜만에
네 생각을 하는 날이야
일부러 난 너와 내가
담겨 있는 노랠 찾아
오늘은 슬프거나
우울해도 괜찮은 맘이야
어차피 이 밤이
다 지나가면은 별 수도 없이
난 또 한 동안은 널 잊고 살테니까
내 가슴 속에만
품고 살아갈테니까
비도 오고 그래서
네 생각이 났어
생각이 나서 그래서
그랬던거지
별 의미 없지
우산 속에 숨어서
네 집을 지나쳐
그 날의 감정을
다시 느껴보고파서
떨어지는 빗물과
시계 초침 소리가
방 안 가득 채우면
그 때로 난 돌아가
차라리 난 이 비가
그치지 않았음 해
매일 기억 속에 살 수 있게
나 널 아프게 했던
못난 놈이니까
널 다시 품에 안을
자격도 없으니까
비도 오고 그래서
네 생각이 났어
생각이 나서 그래서
그랬던거지
별 의미 없지
우산 속에 숨어서
네 집을 지나쳐
그 날의 감정을
다시 느껴보고파서
우리에게 주어진 행복을
너무 빨리 쓴 것 같아
거기까지 인 것 같아
이 비가 그칠 땐 각자 있던 곳에서
다시 살아가야만 해
비도 오고 그래서
네 생각이 났어
생각이 나서 그래서
그랬던거지
별 의미 없지
우산 속에 숨어서
네 집을 지나쳐
그 날의 감정을
다시 느껴보고파서",https://www.melon.com/song/detail.htm?songId=30492279,https://cdnimg.melon.co.kr/cm/album/images/100/74/454/10074454_500.jpg/melon/resize/48/quality/80/optimize
팔레트 (Feat. G-DRAGON),아이유,"팔레트 (Feat. G-DRAGON)

이상하게도 요즘엔
그냥 쉬운 게 좋아
하긴 그래도 여전히
코린 음악은 좋더라
Hot Pink 보다 진한
보라색을 더 좋아해
또 뭐더라 단추 있는
Pajamas Lipstick
좀 짓궂은 장난들
I like it I'm twenty five
날 좋아하는 거 알아
I got this I'm truly fine
이제 조금 알 것 같아 날
긴 머리보다 반듯이 자른
단발이 좋아
하긴 그래도 좋은 날 부를 땐
참 예뻤더라
오 왜 그럴까 조금
촌스러운 걸 좋아해
그림보다 빼곡히 채운
Palette 일기 잠들었던 시간들
I like it I'm twenty five
날 미워하는 거 알아
I got this I'm truly fine
이제 조금 알 것 같아 날
어려서 모든 게 어려워
잔소리에 매 서러워
꾸중만 듣던 철부지 애
겨우 스무고개 넘어
기쁨도 잠시 어머
아프니까 웬 청춘이래
지은아 오빠는 말이야
지금 막 서른인데
나는 절대로 아니야
근데 막 어른이 돼
아직도 한참 멀었는데
너보다 다섯 살 밖에 안 먹었는데
스물 위 서른 아래
고맘때 Right there
애도 어른도 아닌 나이 때
그저 나일 때
가장 찬란하게 빛이 나
어둠이 드리워질 때도 겁내지 마
너무 아름다워서 꽃잎 활짝 펴서
언제나 사랑 받는 아이 YOU
Palette 일기 잠들었던 시간들
I like it I'm twenty five
날 좋아하는 거 알아
I got this I'm truly fine
이제 조금 알 것 같아 날
아직 할 말이 많아
I like it I'm twenty five
날 미워하는 거 알아
I got this I've truly found
이제 조금 알 것 같아 날",https://www.melon.com/song/detail.htm?songId=30378156,https://cdnimg.melon.co.kr/cm/album/images/100/56/666/10056666_500.jpg/melon/resize/48/quality/80/optimize
Beautiful,Crush,"it`s a beautiful life
난 너의 곁에 있을게
it`s a beautiful life
너의 뒤에 서 있을게
beautiful love
하늘아래 너와 있다면
숨쉬는 것만으로도 좋아
it`s a beautiful life
beautiful day
너의 기억에서 내가 살텐데
beautiful life beautiful day
내 곁에서 머물러줘
beautiful my love
beautiful your heart
it`s a beautiful life
it`s a beautiful life
it`s a beautiful life
언제나 널 지켜줄게
it`s a beautiful life
내게 기댈수가 있게
beautiful love
너의 눈물 너의 미소도
곁에서 함께 할 수 있도록
it`s a beautiful life
beautiful day
미치도록 널 사랑했었던 날
beautiful life beautiful day
너를 잃고 싶지 않아
beautiful my love
beautiful your heart
it`s a beautiful life
세상에 너와 닮은 추억이
또 덩그러니 내게 남겨져있어
너와의 기억 너와의 추억
it`s a sorrowful life
sorrowful day
슬픔을 이기지 못하는 내게
sorrowful life sorrowful day
내 곁에서 떠나지마
추억속에 내가 살지 않도록
it`s a beautiful life",https://www.melon.com/song/detail.htm?songId=30157753,https://cdnimg.melon.co.kr/cm/album/images/100/24/106/10024106_500.jpg/melon/resize/48/quality/80/optimize
오늘 취하면 (Feat. 창모) (Prod. SUGA),SURAN (수란),"아직 잊지 못하고
아주 달콤히 맴돌아
나 꿈인 줄 모르고 star
헤매이고 있어
그냥 어지러운 가봐요
잠이 든 그댄 아무 말도 말아요
이미 익숙해진 우리 미로 사이
참을 수 없어
Have a feel so sweet
어색했던 우리 첫 와인처럼
쓰고 아프지만
두 눈에 가득 담아
흐르는 대로 널 보내줄게
나 너에게 취해
난 이 밤에 취해
니가 모질게 했던 그 기억 속에
그 추억에 헤매 널 찾고 있어
그냥 잊을래
너의 맘도 알고 싶어 boy
그냥 잊어줘
Baby Please don't go
나 바빠 Bay 아니야
그만 잡아 Phone
우리 얘기 다 끝났어
난 차가운 남자라고
누가 취하면 그런 거 못해
잡다 놓다가 새 Phone에
지문 묻히기 누가 못하냐고
알아 난 나이 24
이별 따위엔 서툴지
사실 이제 나 익숙해졌음 해
마치 또래보다
훨씬 많은 돈을 버는 일
허나 나보다
훨씬 여리디 여린 널 위해
다 큰 어른인 척 좀
할 수 밖에 없는걸 생각해 좀좀좀
지울 수 없어
Have a feel so sweet
익숙해져 버린 네 향기처럼
쓰고 아프지만
내 맘에 가득 담아
흐르는 대로 널 보내줄게
나 너에게 취해
난 이 밤에 취해
니가 모질게 했던 그 기억 속에
그 추억에 헤매 널 찾고 있어
그냥 잊을래
너의 맘도 알고 싶어 boy
그냥 잊어줘
Baby Please don't go
눈 감으면 맴돌아 너와 걷던 길
함께한 시간 이대로 잠들면 oh
오늘 좀 취한 것 같아
잠긴 목소리로 불러도
넌 아무렇지 않게 가줘
나 너에게 취해
난 이 밤에 취해
니가 모질게 했던 그 기억 속에
그 추억에 헤매 널 찾고 있어
그냥 잊을래
너의 맘도 알고 싶어 boy
그냥 잊어줘
Baby Please don't go",https://www.melon.com/song/detail.htm?songId=30390068,https://cdnimg.melon.co.kr/cm/album/images/100/58/598/10058598_500.jpg/melon/resize/48/quality/80/optimize
KNOCK KNOCK,TWICE (트와이스),"열두시가 되면 닫혀요
조금만 서둘러 줄래요
Knock knock knock knock
knock on my door
Knock knock knock knock
knock on my door
밤이 되면 내 맘속에
출입문이 열리죠
누군가 필요해
Someone else
자꾸자꾸 서성이네
몰래 몰래 훔쳐보네
Knock knock knock knock
knock on my door
Knock knock knock knock
knock on my door
보나마나 또 playboy
떠보나마나 bad boy
확신이 필요해
Knock knock
내 맘이 열리게 두드려줘
세게 쿵 쿵 다시 한번 쿵 쿵
Baby knock knock knock knock
knock on my door
Knock knock knock knock knock
쉽게 열리지는 않을 거야
say that you’re mine
내일도 모레도 다시 와줘
준비하고 기다릴게
knock on my
Baby knock knock knock knock
knock on my door
Knock knock knock knock knock
들어도 계속 듣고 싶은 걸
Knock on my door
필요 없어 gold key or get lucky
진심이면 everything’s gonna be okay
어떡해 벌써 왔나 봐
잠시만 기다려 줄래요
혼자 있을 때 훅 들어와
정신 없이 날 흔들어 놔
지금이 딱 널 위한 show time
make it yours
댕 댕 울리면 매일 찾아와줄래
뱅뱅 돌다간 잠들어 버릴 걸요
Knock knock knock knock
knock on my door
Knock knock knock knock
knock on my door
Come in come in come in baby
take my hands
내 맘이 열리게 두드려줘
세게 쿵 쿵 다시 한번 쿵 쿵
Baby knock knock knock knock
knock on my door
Knock knock knock knock knock
쉽게 열리지는 않을 거야
say that you’re mine
내일도 모레도 다시 와줘
준비하고 기다릴게
knock knock
Baby knock knock knock knock
knock on my door
Knock knock knock knock knock
들어도 계속 듣고 싶은 걸
Knock on my door
Hey hey
이 시간이 지나면
굳어있던 내 맘이
내 내 맘이
아이스크림처럼 녹아 버릴 테니까
Come knock on my door
내 맘이 열리게 두드려줘
세게 쿵 쿵 다시 한번 쿵 쿵
Baby knock knock knock knock
knock on my door
Knock knock knock knock knock
쉽게 열리지는 않을 거야
say that you’re mine
내일도 모레도 다시 와줘
준비하고 기다릴게
knock knock
Baby knock knock knock knock
knock on my door
Knock knock knock knock knock
들어도 계속 듣고 싶은 걸
Knock on my door
Knock knock knock knock on my door
I’m freakin’ freakin’ out
freakin’ out out
knock knock
Knock knock knock knock on my door
Knock knock knock knock
knock on my door
Knock knock knock knock
knock on my door",https://www.melon.com/song/detail.htm?songId=30261007,https://cdnimg.melon.co.kr/cm/album/images/100/40/060/10040060_500.jpg/melon/resize/48/quality/80/optimize
